# xs, ys, ls, ks
3.159999999999997274e-06,7.499999993702599621e-01,2.140927643702347227e-01,3.754467212821104016e-02
3.169110213867426918e-06,7.500001502819284571e-01,2.142988894010884049e-01,3.755284883928637629e-02
3.178246692290777820e-06,7.500003015561734765e-01,2.145052060081323320e-01,3.756102253424928317e-02
3.187409510990214710e-06,7.500004531938017083e-01,2.147117142604472728e-01,3.756919321323756028e-02
3.196598745904202189e-06,7.500006051956221720e-01,2.149184142388669283e-01,3.757736087629329896e-02
3.205814473190134502e-06,7.500007575624452194e-01,2.151253060358166713e-01,3.758552552336501956e-02
3.215056769224964880e-06,7.500009102950830897e-01,2.153323897551384369e-01,3.759368715431000291e-02
3.224325710605840815e-06,7.500010633943499094e-01,2.155396655119014016e-01,3.760184576889719077e-02
3.233621374150736793e-06,7.500012168610614705e-01,2.157471334321983680e-01,3.761000136680911488e-02
3.242943836899092961e-06,7.500013706960354520e-01,2.159547936529273571e-01,3.761815394764510267e-02
3.252293176112458441e-06,7.500015249000911988e-01,2.161626463215578220e-01,3.762630351092386555e-02
3.261669469275106285e-06,7.500016794740498316e-01,2.163706915958807375e-01,3.763445005608624661e-02
3.271072794094714905e-06,7.500018344187342478e-01,2.165789296437435896e-01,3.764259358249824605e-02
3.280503228502985141e-06,7.500019897349692322e-01,2.167873606427677402e-01,3.765073408945401184e-02
3.289960850656294170e-06,7.500021454235813456e-01,2.169959847800491115e-01,3.765887157617887893e-02
3.299445738936341791e-06,7.500023014853989256e-01,2.172048022820126656e-01,3.766700604160539562e-02
3.308957971950800522e-06,7.500024579212758447e-01,2.174138152562589132e-01,3.767513747052434608e-02
3.318497628533967818e-06,7.500026147320549841e-01,2.176230248362357733e-01,3.768326585517444566e-02
3.328064787747418284e-06,7.500027719185661246e-01,2.178324309487872090e-01,3.769139119689637191e-02
3.337659528880659281e-06,7.500029294816407122e-01,2.180420335336808457e-01,3.769951349691874620e-02
3.347281931451788220e-06,7.500030874221123023e-01,2.182518325435713058e-01,3.770763275635988926e-02
3.356932075208151981e-06,7.500032457408162267e-01,2.184618279439535793e-01,3.771574897622923667e-02
3.366610040127006749e-06,7.500034044385894827e-01,2.186720197131059029e-01,3.772386215742897647e-02
3.376315906416182087e-06,7.500035635162711767e-01,2.188824078420221753e-01,3.773197230075578390e-02
3.386049754514744169e-06,7.500037229747021916e-01,2.190929923343331864e-01,3.774007940690234097e-02
3.395811665093664503e-06,7.500038828147252978e-01,2.193037732062165512e-01,3.774818347645949451e-02
3.405601719056486130e-06,7.500040430371851530e-01,2.195147504862949295e-01,3.775628450991767859e-02
3.415419997539995742e-06,7.500042036429281911e-01,2.197259242155222281e-01,3.776438250766937788e-02
3.425266581914903425e-06,7.500043646328028446e-01,2.199372944470575353e-01,3.777247747001063333e-02
3.435141553786487677e-06,7.500045260076592113e-01,2.201488612461253158e-01,3.778056939714372758e-02
3.445044994995313265e-06,7.500046877683496094e-01,2.203606246898642540e-01,3.778865828917863517e-02
3.454976987617885138e-06,7.500048499157279114e-01,2.205725848671609146e-01,3.779674414613588135e-02
3.464937613967330287e-06,7.500050124506499882e-01,2.207847418784699423e-01,3.780482696794865843e-02
3.474926956594085110e-06,7.500051753739735982e-01,2.209970958356202442e-01,3.781290675446519894e-02
3.484945098286575162e-06,7.500053386865583871e-01,2.212096468616059353e-01,3.782098350545125970e-02
3.494992122071905056e-06,7.500055023892656658e-01,2.214223950903625449e-01,3.782905722059273085e-02
3.505068111216543294e-06,7.500056664829590769e-01,2.216353406665270698e-01,3.783712789949843919e-02
3.515173149227015138e-06,7.500058309685037061e-01,2.218484837451825675e-01,3.784519554170236860e-02
3.525307319850592943e-06,7.500059958467666377e-01,2.220618244915857631e-01,3.785326014666728217e-02
3.535470707075989877e-06,7.500061611186168431e-01,2.222753630808779468e-01,3.786132171378698424e-02
3.545663395134058297e-06,7.500063267849251814e-01,2.224890996977784141e-01,3.786938024238959560e-02
3.555885468498484744e-06,7.500064928465645098e-01,2.227030345362599750e-01,3.787743573174070372e-02
3.566137011886493399e-06,7.500066593044152352e-01,2.229171683296288231e-01,3.788548817729463919e-02
3.576418110259545313e-06,7.500068261593701990e-01,2.231315027738973444e-01,3.789353756775257209e-02
3.586728848824043137e-06,7.500069934123062554e-01,2.233460379690981046e-01,3.790158390315481046e-02
3.597069313032039238e-06,7.500071610641010356e-01,2.235607739159199137e-01,3.790962718423619010e-02
3.607439588581948907e-06,7.500073291156340582e-01,2.237757106274242402e-01,3.791766741163513088e-02
3.617839761419231793e-06,7.500074975677867295e-01,2.239908481289288322e-01,3.792570458589544086e-02
3.628269917737149573e-06,7.500076664214423428e-01,2.242061864578800134e-01,3.793373870746844650e-02
3.638730143977449513e-06,7.500078356774863009e-01,2.244217256637107971e-01,3.794176977671493561e-02
3.649220526831088252e-06,7.500080053368058941e-01,2.246374658076860653e-01,3.794979779390711405e-02
3.659741153238950933e-06,7.500081754002901890e-01,2.248534069627345089e-01,3.795782275923106908e-02
3.670292110392571610e-06,7.500083458688303617e-01,2.250695492132657460e-01,3.796584467278882324e-02
3.680873485734855339e-06,7.500085167433194755e-01,2.252858926549736462e-01,3.797386353460061731e-02
3.691485366960803662e-06,7.500086880246525922e-01,2.255024373946240834e-01,3.798187934460755394e-02
3.702127842018240515e-06,7.500088597137265500e-01,2.257191835498280619e-01,3.798989210267373490e-02
3.712800999108541949e-06,7.500090318114402965e-01,2.259361312487982998e-01,3.799790180858919619e-02
3.723504926687366693e-06,7.500092043186946666e-01,2.261532806300903253e-01,3.800590846207227425e-02
3.734239713465389260e-06,7.500093772363922717e-01,2.263706318423262809e-01,3.801391206277244389e-02
3.745005448409034328e-06,7.500095505654378325e-01,2.265881850439022127e-01,3.802191261027326047e-02
3.755802220741217046e-06,7.500097243067380681e-01,2.268059404026772086e-01,3.802991010409491335e-02
3.766630119942077834e-06,7.500098984612012520e-01,2.270238980956447439e-01,3.803790454369756352e-02
3.777489235749728195e-06,7.500100730297381002e-01,2.272420583085854040e-01,3.804589592848432039e-02
3.788379658160992293e-06,7.500102480132609939e-01,2.274604212357007604e-01,3.805388425780423939e-02
3.799301477432160390e-06,7.500104234126839797e-01,2.276789870792272630e-01,3.806186953095580527e-02
3.810254784079707553e-06,7.500105992289234358e-01,2.278977560490298981e-01,3.806985174719030446e-02
3.821239668881089016e-06,7.500107754628979606e-01,2.281167283822480574e-01,3.807783090558095745e-02
3.832256222875459736e-06,7.500109521155542414e-01,2.283359061326309669e-01,3.808580699310541717e-02
3.843304537364442653e-06,7.500111291878280850e-01,2.285552904745939140e-01,3.809378000270792486e-02
3.854384703912877042e-06,7.500113066806382012e-01,2.287748812997047743e-01,3.810174993590292186e-02
3.865496814349585077e-06,7.500114845949050757e-01,2.289946785132702389e-01,3.810971679409736607e-02
3.876640960768127386e-06,7.500116629315514150e-01,2.292146820343251290e-01,3.811768057859194619e-02
3.887817235527568771e-06,7.500118416915020347e-01,2.294348917956114398e-01,3.812564129058217816e-02
3.899025731253244766e-06,7.500120208756836382e-01,2.296553077435479762e-01,3.813359893115995242e-02
3.910266540837526514e-06,7.500122004850253710e-01,2.298759298381891636e-01,3.814155350131505362e-02
3.921539757440590719e-06,7.500123805204579330e-01,2.300967580531737278e-01,3.814950500193623611e-02
3.932845474491196373e-06,7.500125609829146889e-01,2.303177923756621615e-01,3.815745343381325705e-02
3.944183785687452169e-06,7.500127418733304463e-01,2.305390328062623673e-01,3.816539879763805598e-02
3.955554784997598311e-06,7.500129231926425666e-01,2.307604793589448089e-01,3.817334109400666309e-02
3.966958566660783247e-06,7.500131049417904094e-01,2.309821320609441730e-01,3.818128032342095468e-02
3.978395225187843783e-06,7.500132871217152220e-01,2.312039909526498183e-01,3.818921648629024224e-02
3.989864855362091977e-06,7.500134697333604716e-01,2.314260560874828454e-01,3.819714958293320139e-02
4.001367552240102881e-06,7.500136527776716244e-01,2.316483275317601509e-01,3.820507961358004384e-02
4.012903411152476869e-06,7.500138362555962557e-01,2.318708053645443801e-01,3.821300657837411324e-02
4.024472527704673118e-06,7.500140201680842722e-01,2.320934896774813350e-01,3.822093047737416815e-02
4.036074997777769399e-06,7.500142045160871351e-01,2.323163805746213673e-01,3.822885131055659552e-02
4.047710917529270142e-06,7.500143893005588591e-01,2.325394781722270876e-01,3.823676907781740214e-02
4.059380383393897568e-06,7.500145745224553462e-01,2.327627825985652266e-01,3.824468377897476123e-02
4.071083492084393828e-06,7.500147601827344968e-01,2.329862939936833410e-01,3.825259541377099698e-02
4.082820340592321448e-06,7.500149462823563207e-01,2.332100125091699783e-01,3.826050398187530455e-02
4.094591026188868014e-06,7.500151328222831593e-01,2.334339383078987140e-01,3.826840948288647709e-02
4.106395646425653391e-06,7.500153198034791302e-01,2.336580715637547323e-01,3.827631191633473762e-02
4.118234299135532712e-06,7.500155072269103496e-01,2.338824124613444466e-01,3.828421128168514598e-02
4.130107082433415455e-06,7.500156950935454869e-01,2.341069611956865526e-01,3.829210757833999279e-02
4.142014094717072674e-06,7.500158834043546552e-01,2.343317179718852339e-01,3.830000080564183174e-02
4.153955434667952681e-06,7.500160721603159608e-01,2.345566833421512676e-01,3.830789096077689970e-02
4.165931201252002676e-06,7.500162613624429264e-01,2.347818599530692718e-01,3.831577802795676363e-02
4.177941493720485283e-06,7.500164510117154348e-01,2.350072482544358354e-01,3.832366200514746024e-02
4.189986411610802715e-06,7.500166411091068186e-01,2.352328481724081655e-01,3.833154289356707767e-02
4.202066054747320936e-06,7.500168316555924086e-01,2.354586596470260029e-01,3.833942069433445010e-02
4.214180523242208223e-06,7.500170226521500894e-01,2.356846826321698229e-01,3.834729540847042761e-02
4.226329917496224601e-06,7.500172140997597436e-01,2.359109170955067669e-01,3.835516703689901413e-02
4.238514338199613770e-06,7.500174059994032527e-01,2.361373630184271932e-01,3.836303558044935197e-02
4.250733886332894233e-06,7.500175983520649403e-01,2.363640203959679886e-01,3.837090103985693612e-02
4.262988663167711411e-06,7.500177911587313506e-01,2.365908892367249439e-01,3.837876341576534900e-02
4.275278770267676205e-06,7.500179844203910262e-01,2.368179695627524450e-01,3.838662270872791188e-02
