# xs, ys, ls, ks
3.159999999999997274e-06,9.000000001177325126e-01,1.744315499103659572e+00,8.244975533031748682e-01
3.169110213867426918e-06,9.000000339099701874e-01,1.746028214372398635e+00,8.246139836418917568e-01
3.178246692290777820e-06,9.000000677840842567e-01,1.747742606689919098e+00,8.247304119288366708e-01
3.187409510990214710e-06,9.000001017402602388e-01,1.749458677467879530e+00,8.248468380592822724e-01
3.196598745904202189e-06,9.000001357786838740e-01,1.751176428189491707e+00,8.249632619271372036e-01
3.205814473190134502e-06,9.000001698995413468e-01,1.752895860406882944e+00,8.250796834250616607e-01
3.215056769224964880e-06,9.000002041030191746e-01,1.754616975738307216e+00,8.251961024444917081e-01
3.224325710605840815e-06,9.000002383893045410e-01,1.756339775865209285e+00,8.253125188757927111e-01
3.233621374150736793e-06,9.000002727585846296e-01,1.758064262529128952e+00,8.254289326082565603e-01
3.242943836899092961e-06,9.000003072110472901e-01,1.759790437528447216e+00,8.255453435302556597e-01
3.252293176112458441e-06,9.000003417468838141e-01,1.761518312148433907e+00,8.256617513352220161e-01
3.261669469275106285e-06,9.000003763662871581e-01,1.763247900840990923e+00,8.257781556540157997e-01
3.271072794094714905e-06,9.000004110694451720e-01,1.764979203029183097e+00,8.258945564280850693e-01
3.280503228502985141e-06,9.000004458565464827e-01,1.766712218097202358e+00,8.260109535992926633e-01
3.289960850656294170e-06,9.000004807277800500e-01,1.768446945535546488e+00,8.261273471070627039e-01
3.299445738936341791e-06,9.000005156833351672e-01,1.770183384940892557e+00,8.262437368883577271e-01
3.308957971950800522e-06,9.000005507234016822e-01,1.771921536015890863e+00,8.263601228776999985e-01
3.318497628533967818e-06,9.000005858481697762e-01,1.773661398568878500e+00,8.264765050072659935e-01
3.328064787747418284e-06,9.000006210578301857e-01,1.775402972513513644e+00,8.265928832068744070e-01
3.337659528880659281e-06,9.000006563525738690e-01,1.777146257868319923e+00,8.267092574040374453e-01
3.347281931451788220e-06,9.000006917325924505e-01,1.778891254756145734e+00,8.268256275240265518e-01
3.356932075208151981e-06,9.000007271980778878e-01,1.780637963403532531e+00,8.269419934898865066e-01
3.366610040127006749e-06,9.000007627492225826e-01,1.782386384139987401e+00,8.270583552224975987e-01
3.376315906416182087e-06,9.000007983862192695e-01,1.784136517397162836e+00,8.271747126406078232e-01
3.386049754514744169e-06,9.000008341092612385e-01,1.785888363707930804e+00,8.272910656608976065e-01
3.395811665093664503e-06,9.000008699185421124e-01,1.787641923705363345e+00,8.274074141980122254e-01
3.405601719056486130e-06,9.000009058142561802e-01,1.789397198121597254e+00,8.275237581646300855e-01
