# xs, ys, ls, ks
3.159999999999997274e-06,9.500000000732097272e-01,1.312252914546400806e+00,8.357635502613862677e-01
3.169110213867426918e-06,9.500000124928570377e-01,1.313548109658595697e+00,8.358542650522819972e-01
3.178246692290777820e-06,9.500000249426604482e-01,1.314844606463462240e+00,8.359450246490187642e-01
3.187409510990214710e-06,9.500000374226885702e-01,1.316142405721567377e+00,8.360358288884902622e-01
3.196598745904202189e-06,9.500000499330103487e-01,1.317441508260790428e+00,8.361266776054763206e-01
3.205814473190134502e-06,9.500000624736945065e-01,1.318741914975107843e+00,8.362175706326415714e-01
3.215056769224964880e-06,9.500000750448102105e-01,1.320043626823289129e+00,8.363085078006314843e-01
3.224325710605840815e-06,9.500000876464266275e-01,1.321346644827498862e+00,8.363994889381981546e-01
3.233621374150736793e-06,9.500001002786132576e-01,1.322650970071803656e+00,8.364905138721977496e-01
3.242943836899092961e-06,9.500001129414397116e-01,1.323956603700579882e+00,8.365815824277564872e-01
3.252293176112458441e-06,9.500001256349754897e-01,1.325263546916822355e+00,8.366726944282745215e-01
3.261669469275106285e-06,9.500001383592905357e-01,1.326571800980341997e+00,8.367638496955520644e-01
3.271072794094714905e-06,9.500001511144549049e-01,1.327881367205870244e+00,8.368550480499160615e-01
3.280503228502985141e-06,9.500001639005392073e-01,1.329192250230753380e+00,8.369462892043801894e-01
3.289960850656294170e-06,9.500001767176149414e-01,1.330504460222102558e+00,8.370375726950488593e-01
3.299445738936341791e-06,9.500001895657526063e-01,1.331817997884502391e+00,8.371288983661769878e-01
3.308957971950800522e-06,9.500002024450224791e-01,1.333132863384969058e+00,8.372202660792741336e-01
3.318497628533967818e-06,9.500002153554951700e-01,1.334449056963869396e+00,8.373116756933809413e-01
3.328064787747418284e-06,9.500002282972415113e-01,1.335766578934259652e+00,8.374031270650859060e-01
3.337659528880659281e-06,9.500002412703323351e-01,1.337085429681151627e+00,8.374946200485693382e-01
3.347281931451788220e-06,9.500002542748388068e-01,1.338405609660701101e+00,8.375861544956960669e-01
3.356932075208151981e-06,9.500002673108322027e-01,1.339727119399317878e+00,8.376777302560619587e-01
3.366610040127006749e-06,9.500002803783836880e-01,1.341049959492693233e+00,8.377693471770469857e-01
3.376315906416182087e-06,9.500002934775650942e-01,1.342374130604743865e+00,8.378610051039180329e-01
